timeOfDay,dayOfWeek,serviceType,demandLevel
15,4,specialist,LOW
19,4,specialist,LOW
14,2,quick,LOW
7,6,general,LOW
7,4,general,LOW
23,2,quick,LOW
12,5,general,MEDIUM
23,5,general,LOW
0,2,general,LOW
14,6,general,LOW
23,3,general,LOW
16,1,general,MEDIUM
22,5,general,LOW
7,2,specialist,LOW
0,5,general,LOW
21,4,specialist,LOW
1,3,general,LOW
1,3,quick,LOW
5,1,specialist,LOW
2,3,quick,LOW
21,3,quick,LOW
12,5,specialist,MEDIUM
12,3,quick,VERY_HIGH
20,5,general,LOW
3,0,general,MEDIUM
8,2,quick,LOW
15,5,quick,LOW
12,4,specialist,MEDIUM
22,6,specialist,LOW
7,1,quick,MEDIUM
20,1,specialist,LOW
0,4,quick,LOW
12,6,general,HIGH
10,6,general,HIGH
6,2,specialist,LOW
22,4,specialist,LOW
22,5,specialist,LOW
12,1,quick,HIGH
1,5,specialist,LOW
19,1,general,MEDIUM
13,4,specialist,HIGH
9,6,quick,MEDIUM
16,5,specialist,LOW
21,1,specialist,LOW
20,3,quick,LOW
10,0,quick,VERY_HIGH
23,6,quick,LOW
9,5,specialist,LOW
1,6,general,LOW
17,6,specialist,LOW
18,0,specialist,HIGH
10,6,general,HIGH
8,1,general,LOW
12,6,quick,HIGH
7,1,general,LOW
7,4,general,LOW
12,1,quick,HIGH
2,0,specialist,LOW
9,3,quick,LOW
8,4,specialist,LOW
11,5,specialist,MEDIUM
20,0,general,MEDIUM
18,0,quick,VERY_HIGH
9,5,general,LOW
7,1,quick,LOW
1,3,general,LOW
17,5,quick,HIGH
11,4,general,VERY_HIGH
0,4,specialist,LOW
20,6,specialist,LOW
21,2,general,MEDIUM
12,4,specialist,HIGH
21,2,specialist,LOW
5,5,specialist,LOW
10,6,quick,VERY_HIGH
14,6,specialist,LOW
12,6,general,HIGH
23,0,quick,HIGH
5,0,specialist,LOW
12,6,quick,HIGH
5,6,specialist,LOW
3,4,general,LOW
21,6,general,LOW
20,1,specialist,LOW
11,3,general,HIGH
13,3,specialist,HIGH
7,6,specialist,LOW
