peopleAhead,activeCounters,serviceType,timeOfDay,dayOfWeek,actualWaitMinutes
10,3,quick,19,4,10.9
10,3,specialist,18,6,67.7
20,2,general,3,2,78.8
21,2,general,0,3,82.9
26,1,general,11,0,308.9
11,3,quick,14,5,11.6
4,3,quick,19,0,2.3
27,1,quick,17,3,106.1
25,1,specialist,17,1,488.1
7,1,quick,6,3,19.7
3,1,quick,2,5,10.1
3,2,specialist,5,5,21.1
1,4,specialist,17,1,6.3
13,4,quick,15,6,9.4
12,4,quick,7,4,10.5
14,1,specialist,12,0,312.9
8,3,general,0,0,23.2
7,1,quick,10,2,28.5
4,3,quick,2,0,5.0
0,2,quick,8,3,1.2
4,4,quick,22,5,4.6
4,3,quick,2,0,7.3
4,1,quick,13,2,18.6
25,3,quick,8,6,25.7
6,3,specialist,12,2,44.3
12,3,specialist,4,6,57.9
12,4,quick,10,4,11.3
29,1,specialist,1,1,434.1
27,4,general,20,5,53.2
27,3,specialist,10,1,172.7
0,1,general,6,5,0.0
5,3,general,8,2,10.4
0,1,quick,8,5,0.0
16,4,quick,21,0,12.2
11,4,specialist,16,1,53.6
16,4,general,4,0,33.5
27,2,quick,16,1,52.3
5,2,specialist,20,3,38.1
23,3,quick,3,6,24.6
21,2,general,19,1,82.2
27,1,quick,15,0,97.0
3,3,quick,19,3,3.2
19,3,quick,2,6,16.9
7,2,general,7,6,28.9
24,1,general,10,3,250.0
15,4,specialist,2,6,53.4
27,4,specialist,15,0,116.6
2,1,quick,22,0,7.9
23,4,quick,15,2,19.1
7,2,quick,16,3,13.2
2,1,specialist,2,5,29.7
3,1,quick,15,4,5.1
20,2,general,3,0,91.1
0,4,quick,2,0,0.0
21,3,quick,18,5,29.1
0,2,quick,1,4,0.0
28,4,quick,0,4,26.6
29,4,general,16,3,75.3
2,2,general,13,4,11.6
19,1,quick,2,3,53.1
2,1,quick,20,6,6.4
7,3,quick,21,1,4.5
14,4,specialist,23,1,54.6
10,1,general,7,0,92.1
9,1,specialist,15,6,136.0
25,4,general,23,4,51.0
0,4,quick,3,4,0.0
14,3,specialist,11,2,89.6
21,3,specialist,1,6,103.2
21,2,specialist,21,1,156.6
14,2,general,19,1,54.2
11,4,general,7,4,21.3
12,2,general,6,3,47.3
12,4,quick,22,3,6.4
16,3,specialist,9,5,77.4
25,1,specialist,22,1,371.0
11,1,general,22,6,85.6
29,4,general,14,1,57.3
12,4,specialist,15,0,52.5
25,4,specialist,22,2,97.1
28,1,quick,4,5,83.5
3,3,specialist,15,4,18.7
9,2,general,4,6,36.0
23,4,general,12,3,61.3
26,4,quick,1,0,23.6
18,1,quick,0,0,64.2
0,3,quick,4,3,0.6
9,2,general,7,4,34.8
6,1,specialist,1,2,90.7
3,4,general,10,4,6.4
3,1,general,20,4,25.1
3,4,quick,16,2,1.5
23,4,specialist,16,6,112.5
24,3,general,22,4,66.1
16,1,quick,8,5,50.6
16,3,specialist,12,2,104.0
8,4,general,8,2,16.6
2,1,quick,14,4,5.7
3,1,general,19,2,27.6
25,2,quick,11,0,56.9
12,2,general,5,6,47.0
4,1,quick,1,4,9.3
21,1,specialist,18,4,408.1
26,3,general,11,5,89.7
2,2,specialist,18,6,18.4
28,4,specialist,19,3,102.0
2,1,quick,8,6,7.0
0,4,quick,16,0,0.2
11,2,specialist,20,5,82.6
10,1,quick,20,5,30.8
19,3,general,3,2,49.3
2,2,general,20,5,6.1
15,2,quick,10,3,29.0
3,4,general,7,1,8.0
17,4,specialist,7,1,62.2
8,1,quick,21,6,21.3
27,1,general,20,3,214.7
4,3,quick,5,1,3.2
29,4,quick,1,1,21.6
10,1,general,17,6,103.4
16,3,general,21,2,42.4
22,4,quick,0,4,19.0
4,3,specialist,16,4,26.0
9,2,general,20,4,36.1
8,2,quick,16,4,12.9
7,4,general,7,1,15.1
2,2,quick,1,5,5.4
29,2,specialist,11,4,282.9
22,3,quick,16,6,29.9
5,3,specialist,10,2,35.2
17,2,specialist,5,1,125.1
5,1,quick,1,3,10.9
29,4,general,23,6,60.0
16,4,general,3,1,32.7
23,4,specialist,16,3,112.4
10,3,specialist,12,5,64.0
22,1,quick,18,6,86.5
28,3,general,2,2,72.8
4,1,specialist,18,2,75.4
4,1,specialist,20,5,57.4
1,2,general,11,1,4.5
14,1,quick,8,1,40.4
29,4,general,21,6,57.2
16,4,general,3,0,34.7
23,3,quick,19,6,27.7
25,1,quick,13,1,96.9
2,3,specialist,23,2,10.1
5,2,quick,12,1,11.7
24,4,quick,18,6,21.9
25,2,quick,16,6,49.9
12,1,specialist,11,0,272.5
14,2,quick,8,4,22.8
7,3,quick,21,1,10.0
19,2,specialist,8,4,146.5
26,4,specialist,1,2,97.6
5,1,general,20,5,40.3
10,2,specialist,22,3,75.3
21,2,quick,3,6,33.3
29,3,general,23,5,77.5
4,4,specialist,18,4,21.0
19,3,specialist,21,3,91.7
5,2,quick,0,1,7.6
12,4,general,10,6,29.9
22,1,specialist,23,1,330.1
7,1,specialist,11,1,135.3
10,1,general,8,0,93.5
2,3,quick,23,5,3.2
20,2,specialist,11,1,194.6
2,4,quick,8,1,1.7
4,1,specialist,7,2,59.7
4,1,specialist,2,4,61.3
9,1,specialist,3,0,152.7
13,4,general,17,6,34.3
0,3,general,22,6,1.6
22,3,general,16,0,86.2
5,2,quick,6,2,7.6
9,4,quick,6,2,7.4
6,2,general,0,3,23.2
24,2,quick,3,4,33.8
21,4,quick,0,5,14.1
9,3,specialist,9,4,47.1
23,1,quick,14,3,68.0
14,1,quick,7,4,44.8
3,4,quick,18,2,2.0
19,1,specialist,10,2,366.9
25,4,quick,13,2,27.4
24,2,general,7,5,97.7
15,4,quick,11,3,12.8
9,4,general,23,4,16.8
13,1,general,21,2,106.6
0,3,general,21,2,5.1
8,1,general,14,0,74.6
25,1,specialist,19,0,429.2
6,2,general,10,5,27.9
10,1,specialist,1,2,150.9
28,1,specialist,20,0,479.9
27,2,quick,10,5,52.8
19,1,general,19,0,171.8
28,3,specialist,21,3,138.8
23,3,general,22,2,59.5
29,1,quick,16,4,113.7
17,3,general,13,2,61.3
17,1,specialist,21,3,258.2
6,3,general,7,4,16.0
13,3,quick,9,1,15.8
7,1,quick,17,6,27.6
22,4,general,22,2,44.2
14,4,quick,18,0,15.4
23,4,specialist,2,5,82.9
0,3,specialist,6,1,0.0
28,4,quick,20,2,21.7
4,3,specialist,1,0,24.7
2,2,quick,9,6,0.0
29,4,general,4,5,59.2
2,4,general,1,4,5.9
13,1,general,17,2,135.1
24,1,general,7,1,190.8
25,2,quick,13,3,47.9
4,3,general,12,1,14.3
24,1,specialist,1,0,412.0
9,1,specialist,11,6,174.7
1,4,quick,5,2,0.0
12,2,general,20,6,47.4
21,4,specialist,13,1,104.7
3,1,quick,0,2,8.5
1,2,general,6,2,6.4
4,2,quick,14,5,2.5
19,3,quick,19,2,18.8
12,3,quick,16,5,16.3
7,1,specialist,20,0,118.7
10,1,general,0,0,90.1
11,1,quick,2,1,37.6
18,4,quick,5,1,15.5
22,1,general,16,1,227.6
15,2,general,14,3,60.8
21,1,general,16,6,219.6
24,2,specialist,7,0,209.7
9,3,general,12,1,33.3
20,2,quick,16,6,35.1
18,1,quick,20,6,53.4
29,2,specialist,22,4,217.4
13,1,quick,9,6,37.7
27,4,quick,23,2,22.3
22,3,quick,7,1,21.9
28,4,quick,14,0,26.6
11,2,general,15,4,45.7
9,3,specialist,1,6,44.1
28,4,quick,6,5,18.6
20,2,specialist,16,4,200.2
6,1,quick,9,5,16.7
2,1,general,0,5,12.3
4,2,specialist,3,1,29.4
13,1,general,15,0,117.7
10,1,quick,4,4,29.4
23,2,specialist,6,6,177.1
26,4,general,6,3,50.7
12,3,general,21,4,31.2
4,1,specialist,2,5,59.8
8,1,specialist,14,6,119.3
23,1,specialist,17,5,446.2
23,1,quick,2,5,64.5
1,1,quick,8,2,1.2
24,4,specialist,8,6,88.3
15,1,quick,5,2,45.2
27,1,specialist,17,5,526.6
26,4,quick,2,1,21.6
23,2,general,12,0,138.7
10,1,general,15,0,94.2
26,4,general,20,1,50.7
18,1,quick,12,1,71.2
10,2,quick,22,1,15.5
12,2,specialist,3,1,89.7
12,2,general,11,6,62.8
27,2,general,7,6,108.1
29,3,general,2,5,77.2
28,1,specialist,14,5,419.3
3,4,specialist,3,3,10.9
9,1,general,11,5,92.8
23,2,specialist,0,5,171.4
10,1,general,11,6,104.8
18,3,general,5,6,47.8
6,1,general,2,4,45.6
10,1,quick,22,4,32.2
11,2,quick,2,0,21.6
4,4,general,20,6,5.5
0,3,general,4,2,3.3
28,2,specialist,5,6,210.7
26,4,specialist,14,3,96.9
7,1,specialist,16,4,137.6
11,4,quick,2,4,9.1
2,2,general,23,3,7.7
29,1,specialist,13,6,562.8
21,4,general,5,0,45.1
20,4,quick,12,0,23.6
5,3,specialist,17,5,34.5
10,4,general,5,0,20.8
11,1,specialist,18,0,251.5
0,4,general,9,1,0.0
12,1,specialist,0,0,204.2
25,2,specialist,6,1,185.3
22,2,specialist,14,1,165.7
8,2,general,2,2,32.3
8,3,specialist,8,6,41.4
26,3,specialist,19,5,130.8
15,4,quick,6,2,13.9
27,1,specialist,2,6,405.4
21,2,specialist,13,2,208.2
18,2,general,12,2,95.8
7,1,quick,13,3,26.9
17,2,quick,11,1,35.2
23,4,quick,21,4,17.3
28,1,specialist,18,2,546.2
11,3,specialist,14,0,65.5
29,4,general,3,3,57.5
8,4,specialist,16,2,42.4
5,4,specialist,14,1,17.8
25,3,quick,9,2,28.0
7,2,quick,0,2,13.3
13,4,specialist,22,1,48.7
14,1,specialist,21,3,212.3
19,1,specialist,23,6,282.7
4,1,quick,1,2,12.6
3,4,quick,0,3,2.2
13,2,quick,9,2,20.5
8,2,specialist,9,3,56.9
21,1,quick,11,0,93.3
4,3,general,10,4,16.9
26,4,quick,14,5,19.9
1,2,general,19,1,3.4
5,3,specialist,0,6,24.1
0,1,general,20,2,0.0
23,2,specialist,19,4,172.5
24,2,quick,10,5,48.6
17,3,quick,23,6,17.7
22,4,quick,11,5,19.6
0,1,quick,7,1,1.3
5,4,quick,7,4,3.4
25,3,specialist,0,6,125.4
17,2,quick,9,5,27.4
24,4,general,11,2,63.0
18,1,specialist,3,0,312.2
5,4,specialist,1,1,22.4
24,1,quick,8,0,83.4
1,4,general,8,2,2.8
5,4,general,5,5,11.8
12,3,general,8,6,31.7
6,2,quick,0,5,6.4
24,1,general,18,3,246.3
11,3,general,16,0,43.9
13,2,specialist,13,1,126.3
7,2,general,2,4,23.0
15,2,general,11,4,82.6
14,4,general,14,3,30.0
10,3,specialist,17,3,60.6
22,3,general,20,6,58.9
12,1,quick,14,3,36.8
28,2,specialist,18,1,273.9
7,3,specialist,14,3,39.7
1,2,specialist,3,5,6.3
11,3,general,10,6,35.0
6,3,specialist,6,4,31.9
3,4,general,9,3,4.7
11,1,specialist,6,5,165.3
21,2,quick,12,6,40.1
25,1,general,21,3,201.0
26,2,specialist,9,0,221.7
18,4,general,3,1,36.9
9,4,general,17,2,25.2
14,1,general,22,1,113.0
21,1,general,22,4,167.3
6,4,general,14,2,8.9
29,1,specialist,12,4,566.0
20,3,general,1,2,52.1
10,1,general,6,0,95.8
18,2,quick,23,3,23.7
7,4,quick,12,5,8.9
8,3,general,0,3,19.1
16,1,general,6,3,126.6
20,3,specialist,4,3,101.3
25,1,quick,21,3,71.9
22,2,quick,21,5,30.0
19,2,quick,1,6,25.8
4,4,specialist,11,1,20.6
29,2,general,22,1,114.2
15,1,general,22,3,122.2
18,4,specialist,12,6,89.0
23,4,specialist,4,3,88.7
17,2,general,19,5,68.3
11,4,quick,0,4,9.7
17,3,specialist,3,0,99.7
1,1,general,1,0,9.4
22,2,quick,2,3,34.4
5,3,specialist,3,1,25.0
11,2,specialist,4,3,84.2
17,2,quick,16,1,36.1
15,3,specialist,13,5,99.7
14,1,quick,19,5,39.6
19,2,specialist,2,1,141.8
24,2,specialist,9,0,203.1
15,2,quick,13,0,33.2
2,4,specialist,13,4,8.2
14,1,general,1,3,112.7
13,1,general,11,3,134.5
29,3,quick,5,4,30.3
18,3,specialist,22,2,87.3
17,3,general,1,5,45.9
22,1,general,23,6,174.9
15,3,general,13,2,51.2
7,3,general,3,3,19.5
5,4,general,19,3,12.4
19,1,quick,17,6,77.5
21,4,quick,6,2,13.6
21,1,specialist,6,4,314.5
22,2,specialist,14,4,162.9
0,1,specialist,23,6,1.9
4,2,general,20,4,15.0
16,3,general,3,0,45.1
3,2,quick,20,1,8.6
7,2,specialist,19,3,53.4
9,1,general,5,1,74.4
16,4,general,16,0,48.8
9,1,specialist,15,4,135.3
10,4,specialist,7,4,32.6
16,3,specialist,7,0,91.8
4,3,quick,23,4,4.2
24,4,general,7,4,51.4
18,1,quick,10,0,78.0
6,3,quick,19,6,4.1
4,2,quick,18,2,10.3
15,4,specialist,5,6,56.6
1,1,general,7,0,7.5
22,2,general,8,0,99.4
3,1,specialist,17,1,61.4
10,2,quick,15,3,18.6
17,4,specialist,14,0,72.1
24,2,quick,13,3,44.2
19,2,specialist,21,3,142.1
25,3,specialist,16,4,161.9
11,1,specialist,22,6,164.7
13,4,general,20,5,26.6
10,4,specialist,6,6,39.7
12,1,general,21,3,94.4
14,1,specialist,1,4,207.6
28,1,general,21,2,223.9
21,3,general,23,2,59.6
4,1,quick,11,6,16.8
15,2,quick,7,1,23.7
2,4,quick,0,3,3.0
9,1,specialist,1,2,136.5
12,4,quick,1,0,11.5
9,2,general,19,3,34.4
10,4,specialist,20,0,44.4
18,4,quick,22,5,17.0
5,1,specialist,2,1,74.2
9,1,general,21,6,68.9
22,1,general,12,3,231.3
2,2,quick,3,4,3.3
29,4,quick,19,3,20.4
27,3,specialist,17,2,175.5
12,4,specialist,18,5,61.1
3,3,specialist,5,4,9.5
0,3,specialist,22,0,1.6
27,3,specialist,19,0,155.6
15,4,general,5,3,31.2
13,3,quick,14,5,14.7
19,1,specialist,15,4,286.8
12,3,general,9,1,33.4
26,1,specialist,12,5,510.4
9,3,general,18,4,30.4
20,1,general,4,3,161.1
25,2,specialist,4,3,187.9
24,4,specialist,2,0,102.7
27,2,specialist,8,5,202.0
23,2,general,3,4,90.0
2,3,specialist,21,3,11.8
9,3,specialist,15,5,43.6
8,4,general,12,5,19.7
3,1,specialist,10,0,67.2
5,3,specialist,0,2,25.5
9,1,quick,15,6,27.2
4,1,specialist,11,5,75.8
20,1,general,18,2,209.1
20,2,general,8,0,90.5
16,1,quick,21,6,46.4
10,2,general,1,3,40.4
5,2,general,1,5,19.3
4,1,specialist,0,1,59.1
23,4,quick,6,5,21.3
26,4,quick,7,5,18.2
19,1,quick,16,6,74.0
21,4,specialist,3,5,76.8
25,4,specialist,8,1,94.7
29,4,general,1,0,64.1
6,2,specialist,19,2,43.2
4,3,quick,17,2,1.5
7,1,general,3,4,56.4
15,3,quick,8,6,15.1
15,3,specialist,11,1,99.4
17,3,quick,12,2,22.2
27,4,general,22,4,51.4
5,2,quick,4,3,8.2
12,3,quick,15,0,12.7
12,2,quick,20,4,18.8
19,1,quick,0,3,55.5
27,1,specialist,4,2,405.5
11,4,specialist,5,2,41.9
11,3,general,10,1,33.9
27,4,specialist,21,2,100.0
23,4,specialist,15,4,86.7
18,1,quick,19,1,53.1
24,3,quick,17,1,35.1
29,3,general,4,3,74.1
28,4,quick,2,0,21.8
19,1,quick,6,5,59.4
2,3,general,7,6,5.6
2,1,specialist,14,6,33.9
19,2,general,20,4,77.4
0,3,general,14,1,1.3
1,3,specialist,22,2,1.6
18,3,general,7,5,43.4
16,4,specialist,13,2,77.6
2,3,general,18,5,7.8
19,4,specialist,18,0,106.6
18,4,general,22,0,41.7
5,4,quick,19,5,0.3
8,3,specialist,10,4,53.1
3,1,quick,13,5,11.0
22,3,specialist,8,6,111.6
2,4,general,16,5,6.9
19,4,general,20,4,36.6
20,1,general,2,3,162.0
14,3,general,7,4,38.3
14,3,specialist,11,5,92.8
5,3,general,21,4,13.8
6,3,general,18,3,20.1
1,4,general,2,5,1.0
7,1,specialist,22,0,119.5
11,1,general,17,0,131.9
9,4,specialist,7,2,30.9
23,4,quick,15,4,17.1
16,2,general,12,4,85.4
29,2,general,9,2,114.8
8,1,general,8,4,64.3
6,1,quick,6,6,20.7
10,3,general,10,5,33.9
11,3,general,7,3,28.0
28,4,general,20,4,57.8
13,3,quick,4,0,13.9
16,3,quick,12,6,24.0
3,1,specialist,3,5,46.8
27,3,specialist,4,2,136.8
6,1,specialist,18,6,117.2
18,2,specialist,8,1,134.8
24,1,specialist,18,5,468.0
26,2,quick,2,3,39.4
1,4,quick,15,5,4.1
2,4,general,8,5,2.3
16,2,quick,4,4,23.8
27,2,quick,22,0,48.7
20,1,quick,12,6,77.3
2,4,specialist,11,1,14.1
25,4,general,22,2,47.2
0,4,quick,21,3,2.8
23,1,general,6,3,190.2
18,4,general,0,6,36.1
26,3,quick,10,6,33.5
5,1,specialist,10,0,112.3
16,4,specialist,0,6,62.4
23,2,general,17,4,119.7
13,3,general,3,1,35.5
18,2,specialist,10,2,171.9
4,4,general,4,1,7.3
17,4,quick,22,5,9.7
8,1,specialist,3,4,117.0
21,1,general,12,1,219.7
12,4,quick,9,1,8.0
11,2,quick,16,4,22.7
23,3,quick,0,3,22.0
1,3,general,2,4,0.0
7,2,general,2,3,27.4
4,3,specialist,23,1,18.6
21,4,general,16,4,55.5
21,3,quick,20,1,23.2
27,3,general,21,2,72.2
13,1,general,16,3,135.2
5,4,specialist,22,1,20.1
22,4,quick,0,5,17.0
18,1,general,18,1,182.4
27,2,general,13,2,141.4
8,4,quick,12,2,9.1
0,1,general,16,0,0.0
22,1,general,14,5,178.0
10,2,specialist,21,4,75.2
8,2,specialist,20,3,62.2
29,1,quick,23,5,88.9
3,1,quick,6,2,10.0
4,3,general,4,0,13.2
